issue_description,label
I am experiencing very slow performance while using the dashboard.,other
I found a bug in the latest update affecting report generation.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
The application crashes whenever I try to upload a file.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
The application crashes whenever I try to upload a file.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
I found a bug in the latest update affecting report generation.,technical_issue
There seems to be a discrepancy in my billing statement for this month.,billing
The application crashes whenever I try to upload a file.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
Two-factor authentication codes are not being delivered to my phone.,other
The application crashes whenever I try to upload a file.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
Two-factor authentication codes are not being delivered to my phone.,other
The system is not syncing data across devices properly.,other
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I would like to request a refund for the recent charge.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
The system is not syncing data across devices properly.,other
The system is not syncing data across devices properly.,other
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
Two-factor authentication codes are not being delivered to my phone.,other
The application crashes whenever I try to upload a file.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
The system is not syncing data across devices properly.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
I would like to request a refund for the recent charge.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
The system is not syncing data across devices properly.,other
Two-factor authentication codes are not being delivered to my phone.,other
I found a bug in the latest update affecting report generation.,technical_issue
The system is not syncing data across devices properly.,other
The application crashes whenever I try to upload a file.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
The application crashes whenever I try to upload a file.,technical_issue
I am unable to access my account after entering the correct credentials.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
My subscription was cancelled without my request and I need clarification.,feature_request
My subscription was cancelled without my request and I need clarification.,feature_request
I would like to request a refund for the recent charge.,billing
I found a bug in the latest update affecting report generation.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
I am experiencing very slow performance while using the dashboard.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
The application crashes whenever I try to upload a file.,technical_issue
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I found a bug in the latest update affecting report generation.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
My subscription was cancelled without my request and I need clarification.,feature_request
There seems to be a discrepancy in my billing statement for this month.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I would like to request a refund for the recent charge.,billing
Two-factor authentication codes are not being delivered to my phone.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I would like to request a refund for the recent charge.,billing
I am unable to access my account after entering the correct credentials.,other
My subscription was cancelled without my request and I need clarification.,feature_request
Two-factor authentication codes are not being delivered to my phone.,other
I would like to request a refund for the recent charge.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
I am experiencing very slow performance while using the dashboard.,other
I am experiencing very slow performance while using the dashboard.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I found a bug in the latest update affecting report generation.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
The system is not syncing data across devices properly.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I would like to request a refund for the recent charge.,billing
The application crashes whenever I try to upload a file.,technical_issue
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
I found a bug in the latest update affecting report generation.,technical_issue
The system is not syncing data across devices properly.,other
The system is not syncing data across devices properly.,other
Two-factor authentication codes are not being delivered to my phone.,other
My subscription was cancelled without my request and I need clarification.,feature_request
My subscription was cancelled without my request and I need clarification.,feature_request
The application crashes whenever I try to upload a file.,technical_issue
Two-factor authentication codes are not being delivered to my phone.,other
I found a bug in the latest update affecting report generation.,technical_issue
I am unable to access my account after entering the correct credentials.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I am unable to access my account after entering the correct credentials.,other
The application crashes whenever I try to upload a file.,technical_issue
Two-factor authentication codes are not being delivered to my phone.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I am experiencing very slow performance while using the dashboard.,other
The system is not syncing data across devices properly.,other
There seems to be a discrepancy in my billing statement for this month.,billing
Two-factor authentication codes are not being delivered to my phone.,other
There seems to be a discrepancy in my billing statement for this month.,billing
The application crashes whenever I try to upload a file.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
I would like to request a refund for the recent charge.,billing
I am experiencing very slow performance while using the dashboard.,other
Two-factor authentication codes are not being delivered to my phone.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
I would like to request a refund for the recent charge.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
I am experiencing very slow performance while using the dashboard.,other
I am unable to access my account after entering the correct credentials.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I found a bug in the latest update affecting report generation.,technical_issue
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I am experiencing very slow performance while using the dashboard.,other
I found a bug in the latest update affecting report generation.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
My subscription was cancelled without my request and I need clarification.,feature_request
Two-factor authentication codes are not being delivered to my phone.,other
The application crashes whenever I try to upload a file.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
Two-factor authentication codes are not being delivered to my phone.,other
The application crashes whenever I try to upload a file.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
The application crashes whenever I try to upload a file.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
I am unable to access my account after entering the correct credentials.,other
I found a bug in the latest update affecting report generation.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
I would like to request a refund for the recent charge.,billing
The application crashes whenever I try to upload a file.,technical_issue
Two-factor authentication codes are not being delivered to my phone.,other
I would like to request a refund for the recent charge.,billing
Two-factor authentication codes are not being delivered to my phone.,other
I am experiencing very slow performance while using the dashboard.,other
I am experiencing very slow performance while using the dashboard.,other
I would like to request a refund for the recent charge.,billing
Two-factor authentication codes are not being delivered to my phone.,other
I am unable to access my account after entering the correct credentials.,other
I am experiencing very slow performance while using the dashboard.,other
I found a bug in the latest update affecting report generation.,technical_issue
I would like to request a refund for the recent charge.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
The application crashes whenever I try to upload a file.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
I am experiencing very slow performance while using the dashboard.,other
Two-factor authentication codes are not being delivered to my phone.,other
My subscription was cancelled without my request and I need clarification.,feature_request
The payment was deducted from my bank account but the transaction shows failed.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
I would like to request a refund for the recent charge.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
The payment was deducted from my bank account but the transaction shows failed.,billing
I am unable to access my account after entering the correct credentials.,other
The application crashes whenever I try to upload a file.,technical_issue
I am unable to access my account after entering the correct credentials.,other
The system is not syncing data across devices properly.,other
The application crashes whenever I try to upload a file.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
The system is not syncing data across devices properly.,other
My subscription was cancelled without my request and I need clarification.,feature_request
The payment was deducted from my bank account but the transaction shows failed.,billing
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
The system is not syncing data across devices properly.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I would like to request a refund for the recent charge.,billing
I am experiencing very slow performance while using the dashboard.,other
I would like to request a refund for the recent charge.,billing
I am unable to access my account after entering the correct credentials.,other
My subscription was cancelled without my request and I need clarification.,feature_request
The application crashes whenever I try to upload a file.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
The application crashes whenever I try to upload a file.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
Two-factor authentication codes are not being delivered to my phone.,other
I would like to request a refund for the recent charge.,billing
The application crashes whenever I try to upload a file.,technical_issue
The system is not syncing data across devices properly.,other
I am experiencing very slow performance while using the dashboard.,other
I found a bug in the latest update affecting report generation.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
The application crashes whenever I try to upload a file.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
There seems to be a discrepancy in my billing statement for this month.,billing
The system is not syncing data across devices properly.,other
I found a bug in the latest update affecting report generation.,technical_issue
There seems to be a discrepancy in my billing statement for this month.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
I would like to request a refund for the recent charge.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
I am experiencing very slow performance while using the dashboard.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
I am experiencing very slow performance while using the dashboard.,other
There seems to be a discrepancy in my billing statement for this month.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
I found a bug in the latest update affecting report generation.,technical_issue
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I am experiencing very slow performance while using the dashboard.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
The system is not syncing data across devices properly.,other
There seems to be a discrepancy in my billing statement for this month.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
The application crashes whenever I try to upload a file.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
I am unable to access my account after entering the correct credentials.,other
I would like to request a refund for the recent charge.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
I am experiencing very slow performance while using the dashboard.,other
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I would like to request a refund for the recent charge.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
I would like to request a refund for the recent charge.,billing
I found a bug in the latest update affecting report generation.,technical_issue
Two-factor authentication codes are not being delivered to my phone.,other
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
The system is not syncing data across devices properly.,other
I am experiencing very slow performance while using the dashboard.,other
I found a bug in the latest update affecting report generation.,technical_issue
The payment was deducted from my bank account but the transaction shows failed.,billing
The system is not syncing data across devices properly.,other
I am unable to access my account after entering the correct credentials.,other
There seems to be a discrepancy in my billing statement for this month.,billing
Two-factor authentication codes are not being delivered to my phone.,other
The system is not syncing data across devices properly.,other
I would like to request a refund for the recent charge.,billing
I found a bug in the latest update affecting report generation.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
The system is not syncing data across devices properly.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I am unable to access my account after entering the correct credentials.,other
The application crashes whenever I try to upload a file.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
My subscription was cancelled without my request and I need clarification.,feature_request
The payment was deducted from my bank account but the transaction shows failed.,billing
I am experiencing very slow performance while using the dashboard.,other
My subscription was cancelled without my request and I need clarification.,feature_request
The system is not syncing data across devices properly.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I am experiencing very slow performance while using the dashboard.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I am experiencing very slow performance while using the dashboard.,other
My subscription was cancelled without my request and I need clarification.,feature_request
Two-factor authentication codes are not being delivered to my phone.,other
The system is not syncing data across devices properly.,other
Two-factor authentication codes are not being delivered to my phone.,other
Two-factor authentication codes are not being delivered to my phone.,other
I would like to request a refund for the recent charge.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I found a bug in the latest update affecting report generation.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I would like to request a refund for the recent charge.,billing
Two-factor authentication codes are not being delivered to my phone.,other
The application crashes whenever I try to upload a file.,technical_issue
I found a bug in the latest update affecting report generation.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
I am experiencing very slow performance while using the dashboard.,other
The application crashes whenever I try to upload a file.,technical_issue
There seems to be a discrepancy in my billing statement for this month.,billing
I would like to request a refund for the recent charge.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I would like to request a refund for the recent charge.,billing
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
I would like to request a refund for the recent charge.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
The system is not syncing data across devices properly.,other
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
I am experiencing very slow performance while using the dashboard.,other
The application crashes whenever I try to upload a file.,technical_issue
The system is not syncing data across devices properly.,other
The system is not syncing data across devices properly.,other
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
There seems to be a discrepancy in my billing statement for this month.,billing
Two-factor authentication codes are not being delivered to my phone.,other
The system is not syncing data across devices properly.,other
I found a bug in the latest update affecting report generation.,technical_issue
The system is not syncing data across devices properly.,other
I would like to request a refund for the recent charge.,billing
I found a bug in the latest update affecting report generation.,technical_issue
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I am unable to access my account after entering the correct credentials.,other
My subscription was cancelled without my request and I need clarification.,feature_request
There seems to be a discrepancy in my billing statement for this month.,billing
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
I would like to request a refund for the recent charge.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I found a bug in the latest update affecting report generation.,technical_issue
Two-factor authentication codes are not being delivered to my phone.,other
I am unable to access my account after entering the correct credentials.,other
There seems to be a discrepancy in my billing statement for this month.,billing
I am unable to access my account after entering the correct credentials.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I am experiencing very slow performance while using the dashboard.,other
I am experiencing very slow performance while using the dashboard.,other
I am unable to access my account after entering the correct credentials.,other
There seems to be a discrepancy in my billing statement for this month.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
I would like to request a refund for the recent charge.,billing
I found a bug in the latest update affecting report generation.,technical_issue
I am unable to access my account after entering the correct credentials.,other
The system is not syncing data across devices properly.,other
The application crashes whenever I try to upload a file.,technical_issue
I would like to request a refund for the recent charge.,billing
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
There seems to be a discrepancy in my billing statement for this month.,billing
I found a bug in the latest update affecting report generation.,technical_issue
I am unable to access my account after entering the correct credentials.,other
There seems to be a discrepancy in my billing statement for this month.,billing
Two-factor authentication codes are not being delivered to my phone.,other
The application crashes whenever I try to upload a file.,technical_issue
There seems to be a discrepancy in my billing statement for this month.,billing
I am unable to access my account after entering the correct credentials.,other
The system is not syncing data across devices properly.,other
Two-factor authentication codes are not being delivered to my phone.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
The system is not syncing data across devices properly.,other
I would like to request a refund for the recent charge.,billing
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
There seems to be a discrepancy in my billing statement for this month.,billing
Two-factor authentication codes are not being delivered to my phone.,other
There seems to be a discrepancy in my billing statement for this month.,billing
The application crashes whenever I try to upload a file.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
There seems to be a discrepancy in my billing statement for this month.,billing
I would like to request a refund for the recent charge.,billing
Two-factor authentication codes are not being delivered to my phone.,other
I would like to request a refund for the recent charge.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
The application crashes whenever I try to upload a file.,technical_issue
The system is not syncing data across devices properly.,other
The system is not syncing data across devices properly.,other
Two-factor authentication codes are not being delivered to my phone.,other
I am experiencing very slow performance while using the dashboard.,other
I am experiencing very slow performance while using the dashboard.,other
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
I would like to request a refund for the recent charge.,billing
The system is not syncing data across devices properly.,other
I am unable to access my account after entering the correct credentials.,other
I am unable to access my account after entering the correct credentials.,other
My subscription was cancelled without my request and I need clarification.,feature_request
The system is not syncing data across devices properly.,other
I am unable to access my account after entering the correct credentials.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I am experiencing very slow performance while using the dashboard.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
I am unable to access my account after entering the correct credentials.,other
Two-factor authentication codes are not being delivered to my phone.,other
There seems to be a discrepancy in my billing statement for this month.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
The application crashes whenever I try to upload a file.,technical_issue
I would like to request a refund for the recent charge.,billing
The application crashes whenever I try to upload a file.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
I am unable to access my account after entering the correct credentials.,other
My subscription was cancelled without my request and I need clarification.,feature_request
Two-factor authentication codes are not being delivered to my phone.,other
I found a bug in the latest update affecting report generation.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
I would like to request a refund for the recent charge.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
I am unable to access my account after entering the correct credentials.,other
The system is not syncing data across devices properly.,other
I am experiencing very slow performance while using the dashboard.,other
My subscription was cancelled without my request and I need clarification.,feature_request
I am unable to access my account after entering the correct credentials.,other
The application crashes whenever I try to upload a file.,technical_issue
The application crashes whenever I try to upload a file.,technical_issue
The system is not syncing data across devices properly.,other
I found a bug in the latest update affecting report generation.,technical_issue
I am experiencing very slow performance while using the dashboard.,other
There seems to be a discrepancy in my billing statement for this month.,billing
My subscription was cancelled without my request and I need clarification.,feature_request
I would like to request a refund for the recent charge.,billing
I am experiencing very slow performance while using the dashboard.,other
I am unable to access my account after entering the correct credentials.,other
Two-factor authentication codes are not being delivered to my phone.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
The payment was deducted from my bank account but the transaction shows failed.,billing
I would like to request a refund for the recent charge.,billing
Two-factor authentication codes are not being delivered to my phone.,other
The payment was deducted from my bank account but the transaction shows failed.,billing
